Preview Type , Type de prévisualisation
CMYK ,
Darker ,
Gain ,
Scales ,
Tensor Smoothness ,
Diamond ,
Y-Offset (%) ,
Darkness ,
Levels ,
Output Frames ,
Color Strength ,
Hardlight ,
Some Magenta ,
Some Key ,
Ending Value ,
Starting Feathering ,
Automatic ,
Skip All Other Steps ,
Output Files ,
Attenuation ,
Ratio ,
Softburn ,
Color Boost ,
Length ,
Softdodge ,
Filename ,
Circular ,
Sphere ,
Some Yellow ,
Area ,
Some Cyan ,
Hue Shift ,
Frame Size ,
Color Model ,
Itérations ,
Orientations ,
Torus ,
Brightness ,
Grayscale ,
Curvature ,
Background Color ,
Grainextract ,
Disable ,
Number of Tones ,
Scale (%) ,
Blank ,
Bloc ,
Pre-Normalize ,
Both ,
Outline (%) ,
Output As ,
Edge Thickness ,
Preview Shows ,
Starting Value ,
Automatic Depth Estimation ,
Ending Feathering ,
Preview Guides ,
Intensity ,
Background ,
CMY ,
Sharpening ,
Cubic ,
Revert Layers ,
Reverse Order ,
Minimal Area ,
A Lot of Cyan ,
Mirror-Y ,
Mirror-XY ,
Little Cyan ,
X/Y-Ratio ,
X-Amplitude ,
Monochrome ,
Mask Dilation ,
Wrap ,
Little Yellow ,
Y-Amplitude ,
Light ,
A Lot of Magenta ,
A Lot of Yellow ,
Mirror-X ,
Action ,
Little Key ,
Little Magenta ,
A Lot of Key ,
Lines ,
Method ,
Medium ,
Maximal Size ,
Diffusion ,
Color Dispersion ,
Color Doping ,
Low ,
Color Balance ,
Color 2 ,
Soft ,
Color 1 ,
Output Format ,
X-Factor ,
Stars ,
Radius (%) ,
Central Perspective Indoor ,
Star ,
Standard ,
Spread ,
Human 1 ,
Coarse ,
Specular Size ,
Hue Band ,
Closing ,
Circles ,
Image ,
Spacing ,
Some Blue ,
Squares ,
Lookup Size ,
Some Green ,
Output as Separate Layers ,
Some Red ,
Opening ,
Keep Iterations as Different Layers ,
Linearlight ,
Linearity ,
Linearburn ,
Bottom and Top Foreground ,
Bottom and Right Foreground ,
Bottom and Left Foreground ,
Bottom Right ,
Bottom Left ,
Blue & Red Chrominances ,
Blend Size ,
Threshold (%) ,
Black on Transparent White ,
Noise Type ,
Vignette Size ,
Vividlight ,
Kernel ,
Number of Orientations ,
Number of Levels ,
Text ,
Stencil Type ,
Input ,
White on Transparent Black ,
Little Red ,
Little Green ,
Starting Color ,
Local Detail Enhancer ,
Center Foreground ,
Center Background ,
Width (%) ,
Little Blue ,
Interlace Vertical ,
Interpolate ,
Isotropic ,
Boundary Condition ,
Optimized Lateral Inhibition ,
Stroke Length ,
Weird ,
Studio ,
Inter-Frames ,
Interlace Horizontal ,
Color Temperature ,
Mask ,
Dithering ,
Distance ,
Y-Shift ,
Y-Multiplier ,
Min ,
Edge-Oriented ,
Preview Ref Point ,
1st Color ,
Right Foreground ,
Saturation Correction ,
Deviation ,
Details ,
Gamma Compensation ,
Scene Selector ,
Minimal Size ,
Full Bottom/top ,
2nd Color ,
Full HD Frame Packing ,
Full Side by Side Keep Width ,
Y-Factor ,
Flower ,
Recursions ,
Focale ,
Forward ,
Z-Size ,
Radial ,
Zoom Factor ,
Flip Left / Right ,
Feature Analyzer Threshold ,
Feature Analyzer Smoothness ,
Reference Colors ,
Ending Color ,
Yellow ,
Frequency Analyzer ,
Max ,
Resolution (%) ,
Z-Offset ,
Pyramid ,
Z-Multiplier ,
Regularization Iterations ,
Erosion ,
Skip Others Steps ,
Pinlight ,
X-Shift ,
Half Bottom/top ,
Half Side  by Side ,
Plasma ,
Plane ,
Gyroid ,
X2.5 ,
Contour Threshold ,
X-Multiplier ,
Hexagon ,
High ,
Smoothing ,
Color on White ,
Color Tolerance ,
Colormap ,
Hardmix ,
Heart ,
Hearts ,
Height (%) ,
Polaroid Time Zero (Expired) Cold - ,
Polaroid Time Zero (Expired) - ,
Delaunay-Guided ,
Sepia ,
Daylight Scene ,
Detail ,
Despeckle ,
Portrait ,
Depth Field Control ,
Segmentation ,
Shadow ,
Magenta ,
Cup ,
Shift ,
Grid ,
Couleurs Aléatoires / Random Colors ,
DOF Analyzer ,
Shadow Smoothness ,
Cyan ,
Shapeaverage ,
Sharpen ,
Affichage / Display Contours ,
Anaglyph Blue/yellow ,
User-Defined ,
Large ,
Left and Right Foreground ,
Light Color ,
Top Left ,
Top Right ,
Anaglyph Red/cyan ,
Anaglyph Red/cyan Optimized ,
Anti-Ghosting ,
Level ,
Kuwahara ,
Twirl ,
Much Blue ,
Angular ,
Value Correction ,
Much Red ,
Much Green ,
Lighter ,
Band Width ,
Amplitude (%) ,
Anaglyph Green/magenta ,
Anaglyph Blue/yellow Optimized ,
Top Layer Defines Object Texture ,
Light Motive ,
Allow Angle ,
Left and Right Background ,
Turbulence ,
Backward ,
Multiplier ,
Anaglyph Glasses Adjustment ,
Underwater ,
Left Diagonal Foreground ,
Unknown ,
X-Variations ,
Similarity Space ,
Sine ,
Points ,
Sine+ ,
Laplacian ,
HSL8 ,
Modern Film ,
Skin Estimation ,
Luma ,
Small ,
Connectivity ,
X-Scale ,
3x3 ,
3rd Color ,
Velvetia ,
X3.5 ,
HCY ,
Cool ,
Skeleton ,
Small (Faster) ,
HSI8 ,
Luminance Factor ,
Custom Layout ,
Shape Max0 ,
Shape Max ,
Shape Average0 ,
Custom Kernel ,
Polaroid 690 Warm - ,
Shape Min0 ,
Shape Min ,
Vector Painting ,
Shadows Threshold ,
Cycles ,
Polaroid PX-100UV+ Cold - ,
Grain ,
Shape Area Max ,
Shape Average ,
Shape Area Min0 ,
Shape Area Min ,
Shape Area Max0 ,
Sharpen Details in Preview ,
Polaroid 669 - ,
XYZ ,
Sharpening Strength ,
Sharpening Radius ,
Polaroid 669 ,
Shrink ,
Crop ,
Polaroid 665 - ,
Green Smoothness ,
Mixer Mode ,
Gray ,
Graphic Colours ,
Polaroid 690 Cold - ,
Polaroid 690 - ,
XYZ8 ,
Array Mode ,
Polaroid 669 Cold - ,
Polaroid 690 ,
Coarsest (faster) ,
Code ,
5th Color ,
Autocrop ,
Highlights Threshold ,
Horizontal Amount ,
Horizontal (%) ,
Closing - Original ,
Light Grey ,
X-Centering ,
Pencil Amplitude ,
Soften ,
Color Burn ,
Pea Soup ,
Alternating ,
Some ,
Color 3 ,
Color 4 ,
Horizontal Size (%) ,
Hue Randomness (%) ,
Specular ,
Spatial Variance ,
Lomo ,
Paint ,
Vertical Size (%) ,
Oversample ,
Human  2 ,
7th Color ,
Space ,
Allow Outer Blending ,
Hot ,
6th Color ,
Circle ,
Spatial Scale ,
Spatial Radius ,
Spatial Precision ,
Turbulence 2 ,
Color Channels ,
4:3 ,
Vertical (%) ,
High (Slower) ,
Periods ,
4th Color ,
4x4 ,
Two Layers ,
Attenuation Near Center (%) ,
Attenuation Decay ,
Aspect Ratio ,
Pin Light ,
HSV8 ,
4096x4096 Layer ,
Smooth [Antialias] ,
Perserve Luminance ,
Perspective ,
Modulo ,
Hard Mix ,
Pentagon ,
Pencil Smoother Edge Protection ,
Soft Dodge ,
Soft Burn ,
Color Metric ,
Color Intensity ,
512x512 Layer ,
Color Grading ,
Pencil Size ,
Highlight ,
High Pass ,
Color Smoothness ,
Color Space ,
Color Spots + Extrapolated Colors + Lineart ,
Color Quantization ,
Pencil Smoother Sharpness ,
Low Frequency ,
Auto Balance ,
Pencil Type ,
Polaroid PX-100UV+ Warm - ,
Repeat [Memory Consuming!] ,
Frequency (%) ,
Ending Point (%) ,
Enhance Details ,
Emboss ,
Effect Strength ,
16:9 ,
Angle Cut ,
Primary Radius ,
Purple ,
Expired 69 ,
Fractured Clouds ,
Exponential ,
Expand ,
Remix ,
Equalize and Normalize ,
Relief ,
Euclidean ,
Preview Gradient ,
Reverse Endianness ,
YIQ8 ,
Fuji FP-100c Cool - ,
Fuji FP-100c Negative - ,
Masked Image ,
Masking ,
Dynamic Range Increase ,
YIQ ,
Edge Sensitivity ,
YUV ,
YUV8 ,
Edge Threshold (%) ,
Preview Precision ,
Edge Behavior X ,
Edge Behavior Y ,
Fuji FP-100c - ,
Preview Original ,
Reference Color ,
Range ,
Filling ,
Anaglyph Green/magenta Optimized ,
RGB[A] ,
Median ,
Value Scale ,
-90 Deg. ,
Flip ,
Maze Type ,
Fine Scale ,
Finest (slower) ,
Radius Cut ,
Pencil Smoother Smoothness ,
First Offset ,
Flag ,
Zoom Center ,
Zoom In ,
Zoom Out ,
Red Smoothness ,
Fade End ,
Forward  Horizontal ,
Fade Start ,
Maximal Radius ,
Fractal Noise ,
Quadratic ,
Reduce Halos ,
Quantization ,
Value Randomness (%) ,
Maximum Dimension ,
Recovery ,
Fast Resize ,
Far Point Deviation ,
Value Precision ,
Quantize Colors ,
Formula ,
Faded Print ,
1x2 ,
Depth (%) ,
Any ,
Secondary Radius ,
Second Offset ,
Y-Centering ,
Polaroid PX-70 Warm - ,
Deformation Type ,
Selected Color ,
Much ,
Minimal Region Area ,
Fuzzyness ,
Manhattan ,
Scale Factor ,
2x1 ,
Desaturate ,
Anti Alias ,
Left  Foreground ,
2x2 ,
Polaroid PX-680 - ,
Shade ,
Dark Walls ,
Darkness Level ,
Dark Grey ,
Dark  Motive ,
Dark Color ,
Dark Edges ,
Lch ,
Polaroid PX-70 - ,
Self ,
Default ,
Polaroid PX-70 Cold - ,
Decreasing ,
Seventies Magazine ,
